"","year","stfips","stabb","cntyfips","cntyname","commoditycode","commodityname","insplancode","insplanname","covcateg","claim","acres.total","unitssold","meancov","lostacres","ratio","fullfips","logacres","logunitssold","cat","y2016","y2017","fullfips.ch","commoditycode.ch","insplancode.ch"
"68545",2016,53,"WA",77,"Yakima",54,"APPLES",90,"APH","C",0,16513,91,0.5,0,0,53077,9.71190322846299,4.51085950651685,1,1,0,"53077","54","90"
"68546",2016,53,"WA",77,"Yakima",57,"CHERRIES",47,"ARH","A",0,38,3,0.55,0,0,53077,3.63758615972639,1.09861228866811,0,1,0,"53077","57","47"
"68547",2016,53,"WA",77,"Yakima",41,"CORN",2,"RP","A",0,3350,27,0.686014925373134,0,0,53077,8.11671562481911,3.29583686600433,0,1,0,"53077","41","2"
"68548",2016,53,"WA",77,"Yakima",41,"CORN",1,"YP","A",0,4701,42,0.643554562858966,0,0,53077,8.45553053102413,3.73766961828337,0,1,0,"53077","41","1"
"68549",2016,53,"WA",77,"Yakima",41,"CORN",1,"YP","C",0,7319,16,0.5,0,0,53077,8.89822898560123,2.77258872223978,1,1,0,"53077","41","1"
"68550",2016,53,"WA",77,"Yakima",47,"DRY BEANS",90,"APH","A",0,164,4,0.75,0,0,53077,5.0998664278242,1.38629436111989,0,1,0,"53077","47","90"
"68551",2016,53,"WA",77,"Yakima",47,"DRY BEANS",90,"APH","C",0,209,1,0.5,0,0,53077,5.34233425196481,0,1,1,0,"53077","47","90"
"68552",2016,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",0,327,31,0.578746177370031,0,0,53077,5.78996017089725,3.43398720448515,0,1,0,"53077","218","90"
"68553",2016,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","C",0,15,1,0.5,0,0,53077,2.70805020110221,0,1,1,0,"53077","218","90"
"68554",2016,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",0,396,23,0.514267676767677,0,0,53077,5.98141421125448,3.13549421592915,0,1,0,"53077","223","90"
"68555",2016,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","C",0,69,4,0.5,0,0,53077,4.23410650459726,1.38629436111989,1,1,0,"53077","223","90"
"68556",2016,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",0,381,23,0.51496062992126,0,0,53077,5.9427993751267,3.13549421592915,0,1,0,"53077","220","90"
