"state_fips","state_long","state_lat","state_group","state_order","census_region","census_number"
1,-87.4620056152344,30.3896808624268,1,1,"South",3
1,-87.4849319458008,30.3724918365479,1,2,"South",3
1,-87.525032043457,30.3724918365479,1,3,"South",3
1,-87.53076171875,30.3323860168457,1,4,"South",3
1,-87.5708694458008,30.3266544342041,1,5,"South",3
1,-87.5880584716797,30.3266544342041,1,6,"South",3
1,-87.5937881469727,30.3094673156738,1,7,"South",3
1,-87.5937881469727,30.286548614502,1,8,"South",3
1,-87.6740036010742,30.275089263916,1,9,"South",3
1,-87.8115158081055,30.2579021453857,1,10,"South",3
1,-87.8802642822266,30.2464408874512,1,11,"South",3
1,-87.9203720092773,30.2464408874512,1,12,"South",3
1,-87.9547500610352,30.2464408874512,1,13,"South",3
1,-88.0063171386719,30.2407131195068,1,14,"South",3
1,-88.0177764892578,30.2521705627441,1,15,"South",3
1,-88.0120468139648,30.269359588623,1,16,"South",3
1,-87.9948577880859,30.275089263916,1,17,"South",3
1,-87.9547500610352,30.275089263916,1,18,"South",3
1,-87.9031829833984,30.2808208465576,1,19,"South",3
1,-87.8286972045898,30.286548614502,1,20,"South",3
1,-87.8000564575195,30.286548614502,1,21,"South",3
1,-87.8000564575195,30.3266544342041,1,22,"South",3
1,-87.8172378540039,30.3438453674316,1,23,"South",3
1,-87.8401565551758,30.3839530944824,1,24,"South",3
1,-87.8516235351562,30.4011421203613,1,25,"South",3
1,-87.8745346069336,30.4125995635986,1,26,"South",3
1,-87.9031829833984,30.4240608215332,1,27,"South",3
1,-87.9261016845703,30.4469795227051,1,28,"South",3
1,-87.9318313598633,30.4928131103516,1,29,"South",3
1,-87.9432907104492,30.527193069458,1,30,"South",3
1,-87.9203720092773,30.5615692138672,1,31,"South",3
1,-87.9146423339844,30.5844879150391,1,32,"South",3
1,-87.9261016845703,30.6188640594482,1,33,"South",3
1,-87.9203720092773,30.670431137085,1,34,"South",3
1,-87.9490203857422,30.6990776062012,1,35,"South",3
1,-87.989128112793,30.7907524108887,1,36,"South",3
1,-88.0063171386719,30.7964820861816,1,37,"South",3
1,-88.0177764892578,30.802209854126,1,38,"South",3
1,-88.0349655151367,30.7907524108887,1,39,"South",3
1,-88.0464248657227,30.7563762664795,1,40,"South",3
1,-88.0521545410156,30.727725982666,1,41,"South",3
1,-88.0521545410156,30.7105388641357,1,42,"South",3
1,-88.063606262207,30.6876201629639,1,43,"South",3
1,-88.0693435668945,30.6818885803223,1,44,"South",3
1,-88.0808029174805,30.6303253173828,1,45,"South",3
1,-88.0808029174805,30.6131362915039,1,46,"South",3
1,-88.0979919433594,30.6074066162109,1,47,"South",3
1,-88.1094436645508,30.5959453582764,1,48,"South",3
1,-88.1151809692383,30.5844879150391,1,49,"South",3
1,-88.1094436645508,30.5558376312256,1,50,"South",3
1,-88.1209106445312,30.4813556671143,1,51,"South",3
1,-88.1209106445312,30.4412479400635,1,52,"South",3
1,-88.1266403198242,30.3896808624268,1,53,"South",3
1,-88.1323699951172,30.3610343933105,1,54,"South",3
1,-88.1438293457031,30.3438453674316,1,55,"South",3
1,-88.161018371582,30.3381156921387,1,56,"South",3
1,-88.172477722168,30.3381156921387,1,57,"South",3
1,-88.1896591186523,30.3553047180176,1,58,"South",3
1,-88.2240447998047,30.3782234191895,1,59,"South",3
1,-88.2354965209961,30.3954105377197,1,60,"South",3
1,-88.2870635986328,30.4011421203613,1,61,"South",3
1,-88.3157119750977,30.4011421203613,1,62,"South",3
1,-88.3329010009766,30.4011421203613,1,63,"South",3
1,-88.35009765625,30.4240608215332,1,64,"South",3
1,-88.3902053833008,30.4125995635986,1,65,"South",3
1,-88.4073867797852,30.7334575653076,1,66,"South",3
1,-88.4188461303711,30.9970169067383,1,67,"South",3
